,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
146,heloc,0.7139579349904398,0.05391969407265775,4.171,0.026,0.279,23.399,1.602,None_change_enc_only_True,3
147,student_performance,0.9018404907975459,0.07975460122699386,18.362,0.071,0.694,20.11,4.329,None_change_enc_only_True,3
148,titanic,0.8161434977578476,0.15695067264573992,9.852,0.078,0.801,11.686,3.43,None_change_enc_only_True,3
149,breast_cancer,0.9720279720279721,0.006993006993006993,2.515,0.014,0.251,30.0,0.552,None_change_enc_only_True,3
150,adult,0.8291364697211645,0.093108954673873,5.795,0.024,0.09,7.603,2.568,None_change_enc_only_True,67
151,student,0.9315253405325808,0.08700454043440912,10.641,0.056,0.375,32.965,3.183,None_change_enc_only_True,67
152,heloc,0.7139579349904398,0.07609942638623328,4.204,0.028,0.287,23.43,1.615,None_change_enc_only_True,67
153,student_performance,0.9079754601226994,0.04294478527607362,18.257,0.041,0.696,20.012,4.315,None_change_enc_only_True,67
154,titanic,0.820627802690583,0.04932735426008968,9.455,0.045,0.715,11.291,3.119,None_change_enc_only_True,67
155,breast_cancer,0.965034965034965,0.0,2.511,0.013,0.268,30.0,0.529,None_change_enc_only_True,67
156,adult,0.831101830241985,0.11006018916595013,5.823,0.033,0.086,7.628,2.567,None_change_enc_only_True,98
157,student,0.9304209105411708,0.09596269480917904,10.624,0.057,0.378,32.948,3.178,None_change_enc_only_True,98
158,heloc,0.7151051625239006,0.0627151051625239,4.157,0.027,0.273,23.389,1.628,None_change_enc_only_True,98
159,student_performance,0.9079754601226994,0.06748466257668713,18.421,0.06,0.696,20.172,4.338,None_change_enc_only_True,98
160,titanic,0.8161434977578476,0.08968609865470853,8.953,0.051,0.715,10.789,3.139,None_change_enc_only_True,98
161,breast_cancer,0.9720279720279721,0.006993006993006993,2.525,0.013,0.26,30.0,0.541,None_change_enc_only_True,98
162,adult,0.8303648200466773,0.10784915858002704,5.797,0.031,0.09,7.6,2.558,None_change_enc_only_True,4
163,student,0.9289483372192908,0.06589765615412935,10.598,0.041,0.371,32.919,3.167,None_change_enc_only_True,4
164,heloc,0.7139579349904398,0.07992351816443595,4.062,0.024,0.285,23.28,1.601,None_change_enc_only_True,4
165,student_performance,0.9079754601226994,0.08588957055214724,19.345,0.078,0.698,21.092,4.33,None_change_enc_only_True,4
166,titanic,0.820627802690583,0.06726457399103139,8.834,0.03,0.74,10.673,3.247,None_change_enc_only_True,4
167,breast_cancer,0.965034965034965,0.0,2.536,0.013,0.27,30.0,0.547,None_change_enc_only_True,4
168,adult,0.8285222945584081,0.08966957376243705,5.803,0.021,0.086,7.61,2.559,None_change_enc_only_True,23
169,student,0.9354522027242608,0.07681924162473923,10.663,0.056,0.378,32.977,3.193,None_change_enc_only_True,23
170,heloc,0.7193116634799235,0.09369024856596557,4.343,0.0,0.292,23.523,1.664,None_change_enc_only_True,23
171,student_performance,0.9018404907975459,0.06748466257668713,18.584,0.053,0.699,20.331,4.336,None_change_enc_only_True,23
172,titanic,0.8161434977578476,0.06726457399103139,8.947,0.041,0.672,10.789,3.001,None_change_enc_only_True,23
173,breast_cancer,0.958041958041958,0.0,2.554,0.014,0.254,30.0,0.547,None_change_enc_only_True,23
174,adult,0.8290136346886132,0.10563812799410392,5.83,0.028,0.088,7.637,2.577,None_change_enc_only_True,8
175,student,0.9293164805497608,0.07178794944164928,10.586,0.041,0.368,32.918,3.173,None_change_enc_only_True,8
176,heloc,0.7154875717017208,0.06309751434034416,4.125,0.026,0.264,23.325,1.623,None_change_enc_only_True,8
177,student_performance,0.9079754601226994,0.061349693251533735,18.492,0.059,0.704,20.245,4.315,None_change_enc_only_True,8
178,titanic,0.820627802690583,0.11659192825112108,9.758,0.055,0.731,11.596,3.248,None_change_enc_only_True,8
179,breast_cancer,0.965034965034965,0.006993006993006993,2.534,0.012,0.254,30.0,0.537,None_change_enc_only_True,8
180,adult,0.8307333251443312,0.11337673504483478,5.78,0.034,0.091,7.586,2.583,None_change_enc_only_False,42
181,student,0.9366793471591608,0.07387409498097926,10.671,0.049,0.373,32.99,3.183,None_change_enc_only_False,42
182,heloc,0.7131931166347992,0.059655831739961765,4.159,0.022,0.282,23.379,1.62,None_change_enc_only_False,42
183,student_performance,0.9018404907975459,0.098159509202454,18.762,0.076,0.694,20.515,4.315,None_change_enc_only_False,42
184,titanic,0.8161434977578476,0.07174887892376683,8.913,0.031,0.733,10.753,3.137,None_change_enc_only_False,42
185,breast_cancer,0.9720279720279721,0.0,2.54,0.013,0.271,30.0,0.543,None_change_enc_only_False,42
186,adult,0.830241985014126,0.10920034393809114,5.696,0.029,0.085,7.503,2.563,None_change_enc_only_False,12
187,student,0.9317707694195608,0.07227880721560928,10.634,0.047,0.375,32.945,3.182,None_change_enc_only_False,12
188,heloc,0.7204588910133843,0.08298279158699809,4.23,0.011,0.294,23.448,1.653,None_change_enc_only_False,12
189,student_performance,0.9079754601226994,0.07975460122699386,18.916,0.065,0.704,20.663,4.359,None_change_enc_only_False,12
190,titanic,0.8161434977578476,0.10762331838565024,8.905,0.054,0.747,10.744,3.197,None_change_enc_only_False,12
191,breast_cancer,0.9720279720279721,0.0,2.514,0.013,0.265,30.0,0.54,None_change_enc_only_False,12
192,adult,0.8307333251443312,0.1110428694263604,5.807,0.033,0.093,7.614,2.586,None_change_enc_only_False,34
193,student,0.9253896183580808,0.07620566940728922,10.652,0.041,0.37,32.979,3.165,None_change_enc_only_False,34
194,heloc,0.7162523900573614,0.061950286806883366,4.148,0.026,0.282,23.389,1.63,None_change_enc_only_False,34
195,student_performance,0.9018404907975459,0.049079754601227,18.262,0.047,0.703,20.012,4.312,None_change_enc_only_False,34
196,titanic,0.8161434977578476,0.08520179372197309,9.087,0.048,0.781,10.924,3.268,None_change_enc_only_False,34
197,breast_cancer,0.965034965034965,0.0,2.511,0.014,0.254,30.0,0.536,None_change_enc_only_False,34
198,adult,0.8299963149490235,0.11006018916595013,5.786,0.031,0.089,7.593,2.571,None_change_enc_only_False,56
199,student,0.9347159160633206,0.06663394281506932,10.668,0.049,0.374,32.981,3.185,None_change_enc_only_False,56
200,heloc,0.7120458891013385,0.0722753346080306,4.083,0.025,0.29,23.306,1.618,None_change_enc_only_False,56
201,student_performance,0.9079754601226994,0.0736196319018405,18.715,0.066,0.705,20.466,4.371,None_change_enc_only_False,56
202,titanic,0.8116591928251121,0.13901345291479822,9.184,0.045,0.726,11.022,3.182,None_change_enc_only_False,56
203,breast_cancer,0.965034965034965,0.0,2.534,0.011,0.262,30.0,0.534,None_change_enc_only_False,56
204,adult,0.8298734799164722,0.09286328460877044,5.747,0.022,0.086,7.553,2.564,None_change_enc_only_False,3
205,student,0.9307890538716408,0.08467296600809915,10.641,0.055,0.373,32.971,3.181,None_change_enc_only_False,3
