,Dataset,Accuracy,Validity,Proximity,Prediction_gain,Proximity_score,Sparsity,Diversity,Ablation,Seed
145,student,0.9293164805497608,0.99950914222604,11.614,0.932,0.374,33.139,3.196,None_change_enc_dec_Independent_Vcnet,3
146,heloc,0.7139579349904398,1.0,5.635,0.662,0.217,23.988,1.285,None_change_enc_dec_Independent_Vcnet,3
147,student_performance,0.9018404907975459,0.9202453987730062,19.793,0.882,0.701,21.571,4.244,None_change_enc_dec_Independent_Vcnet,3
148,titanic,0.8161434977578476,0.9686098654708521,15.543,0.709,0.722,17.327,3.549,None_change_enc_dec_Independent_Vcnet,3
149,breast_cancer,0.9720279720279721,1.0,5.11,0.986,0.264,30.0,0.565,None_change_enc_dec_Independent_Vcnet,3
150,adult,0.8291364697211645,0.9998771649674488,7.603,0.731,0.045,9.189,2.091,None_change_enc_dec_Independent_Vcnet,67
151,student,0.9315253405325808,0.99926371333906,11.571,0.933,0.375,33.106,3.194,None_change_enc_dec_Independent_Vcnet,67
152,heloc,0.7139579349904398,1.0,5.517,0.651,0.228,23.969,1.292,None_change_enc_dec_Independent_Vcnet,67
153,student_performance,0.9079754601226994,0.8895705521472392,19.409,0.857,0.698,21.19,4.257,None_change_enc_dec_Independent_Vcnet,67
154,titanic,0.820627802690583,0.9730941704035876,15.715,0.739,0.702,17.507,3.47,None_change_enc_dec_Independent_Vcnet,67
155,breast_cancer,0.965034965034965,1.0,5.087,0.987,0.277,30.0,0.545,None_change_enc_dec_Independent_Vcnet,67
156,adult,0.831101830241985,0.9997543299348974,7.686,0.749,0.041,9.286,2.137,None_change_enc_dec_Independent_Vcnet,98
157,student,0.9304209105411708,0.99963185666953,11.522,0.928,0.374,33.088,3.19,None_change_enc_dec_Independent_Vcnet,98
158,heloc,0.7151051625239006,1.0,5.604,0.656,0.226,23.988,1.308,None_change_enc_dec_Independent_Vcnet,98
159,student_performance,0.9079754601226994,0.9263803680981596,19.743,0.893,0.708,21.521,4.281,None_change_enc_dec_Independent_Vcnet,98
160,titanic,0.8161434977578476,0.9910313901345292,15.305,0.719,0.72,17.103,3.506,None_change_enc_dec_Independent_Vcnet,98
161,breast_cancer,0.9720279720279721,1.0,5.184,0.987,0.274,30.0,0.561,None_change_enc_dec_Independent_Vcnet,98
